filing globalID,ReportSection localID,ReportSection globalID,ReportSection labelText,ReportSection sortCode,Element globalID,Element localID,Flattened sequence number,Preferred label text,Fact ID,Fact value,Fact decimals,Period startDate,Period endDate,Unit labelText,ComponentUnitDiscretelyPresentedAxis,TypeOfActivitiesAxis
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}CashAndCashEquivalents,CashAndCashEquivalents,14,Cash and Cash Equivalents,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMy0zLTEtMS0w_d1f17d21-1d5a-4ce1-a935-034a9ff69ecb,1220937000,-3,N/A,2019-06-30,US Dollar,,BusinessTypeActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}CashAndCashEquivalents,CashAndCashEquivalents,14,Cash and Cash Equivalents,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMy01LTEtMS0w_7b26476c-094e-4d40-9c27-70772e30978f,5504028000,-3,N/A,2019-06-30,US Dollar,,PrimaryGovernmentActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}CashAndCashEquivalents,CashAndCashEquivalents,14,Cash and Cash Equivalents,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMy0xLTEtMS0w_7cfd5dd4-0266-442c-8202-9403ffdf1b57,4283091000,-3,N/A,2019-06-30,US Dollar,,GovernmentalActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}CashAndCashEquivalents,CashAndCashEquivalents,14,Cash and Cash Equivalents,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMy03LTEtMS0w_d87d3c22-bc5d-44de-8c82-b41be6c1445e,732726000,-3,N/A,2019-06-30,US Dollar,ComponentUnitDiscretelyPresentedMember,
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}OtherAssets,OtherAssets,15,Other Assets,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMTItMS0xLTEtMA_b9f45028-b665-4105-8e86-0c5331ae7df9,76646000,-3,2018-07-01,2019-06-30,US Dollar,,GovernmentalActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}OtherAssets,OtherAssets,15,Other Assets,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMTItNy0xLTEtMA_23670652-5747-4d5f-b443-f99ce80f1683,164138000,-3,2018-07-01,2019-06-30,US Dollar,ComponentUnitDiscretelyPresentedMember,
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}OtherAssets,OtherAssets,15,Other Assets,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMTItMy0xLTEtMA_fb2b07eb-c9b1-42bd-ab9f-4b1d36511059,2751000,-3,2018-07-01,2019-06-30,US Dollar,,BusinessTypeActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}OtherAssets,OtherAssets,15,Other Assets,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMTItNS0xLTEtMA_00c05573-42c4-4558-b481-cb205a0831c1,79397000,-3,2018-07-01,2019-06-30,US Dollar,,PrimaryGovernmentActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}RestrictedCash,RestrictedCash,17,Restricted Cash,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMTQtMS0xLTEtMA_97b5bbcd-83b5-466a-b6c6-efd278965cdd,0,-3,N/A,2019-06-30,US Dollar,,GovernmentalActivitiesMember
http://www.sec.gov/Archives/edgar/data#ixbrl_viewer_19,http://sao.georgia.gov/role/StatementofNetPositionDetails,http://sao.georgia.gov/20200921#StatementofNetPositionDetails, Statement of Net Position (Details),1401401,{http://xbrl.us/cafr/v0.3/2020-05-01/cafr}RestrictedCash,RestrictedCash,17,Restricted Cash,id3VybDovL2RvY3MudjEvZG9jOjlkZGJmN2M3ZGYwYzQzYTk4ZDZmYTE1MmMyYWU1OTEwL3NlYzo5ZGRiZjdjN2RmMGM0M2E5OGQ2ZmExNTJjMmFlNTkxMF84OC9mcmFnOjY5NjQ5ZmFhNTM1NjQzMWRhOWU5NTBlOWM5MDgwNTE3L3RhYmxlOjAxZTBiYTcxM2I4MjRhNThhMTdiODBhY2YwZjA0OWRjL3RhYmxlcmFuZ2U6MDFlMGJhNzEzYjgyNGE1OGExN2I4MGFjZjBmMDQ5ZGNfMTQtNy0xLTEtMA_23497f65-ff6f-4a83-8700-a21c39cda636,424097000,-3,N/A,2019-06-30,US Dollar,ComponentUnitDiscretelyPresentedMember,
